entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,VIX,normal,67,-548.25,-8.18,-1.56,100.0
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,DXY,strong dollar,62,-393.0,-6.34,-1.08,100.0
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,SP500,stocks bull,62,-393.0,-6.34,-1.08,100.0
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,GOLD,gold downtrend,46,-194.05,-4.22,-0.63,49.4
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,GOLD,gold uptrend,16,-198.95,-12.43,-5.99,50.6
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,BTC,crypto bear,62,-393.0,-6.34,-1.08,100.0
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,US10Y,rates rising,62,-393.0,-6.34,-1.08,100.0
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,OIL,oil downtrend,15,-331.71,-22.11,-4.03,84.4
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,OIL,oil uptrend,47,-61.29,-1.3,-0.22,15.6
Indicement_US500e_Daily_US500.a_Daily_EVERYTICKREAL,ea,VIX,normal,62,-393.0,-6.34,-1.08,100.0
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,DXY,strong dollar,64,-563.23,-8.8,-2.11,100.0
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,DXY,weak dollar,6,0.0,0.0,0.0,-0.0
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,SP500,stocks bull,70,-563.23,-8.05,-2.01,100.0
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,GOLD,gold downtrend,46,-288.48,-6.27,-1.42,51.2
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,GOLD,gold uptrend,24,-274.75,-11.45,-3.82,48.8
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,BTC,crypto bear,70,-563.23,-8.05,-2.01,100.0
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,US10Y,rates rising,70,-563.23,-8.05,-2.01,100.0
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,OIL,oil downtrend,15,127.02,8.47,2.11,-22.6
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,OIL,oil uptrend,55,-690.25,-12.55,-3.19,122.6
Indicement_US500f_Daily_US500.a_Daily_EVERYTICKREAL,ea,VIX,normal,70,-563.23,-8.05,-2.01,100.0
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,68,-1733.08,-25.49,-1.82,91.7
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,8,-155.86,-19.48,-0.82,8.3
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,76,-1888.94,-24.85,-1.62,100.0
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,52,-2800.26,-53.85,-3.34,148.2
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,24,911.32,37.97,3.05,-48.2
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,76,-1888.94,-24.85,-1.62,100.0
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,76,-1888.94,-24.85,-1.62,100.0
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,17,-1367.5,-80.44,-4.45,72.4
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,59,-521.44,-8.84,-0.62,27.6
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,VIX,calm,1,0.0,0.0,0.0,-0.0
ORBMASTER_DAX_M15_a_DE40.a_M15_EVERYTICKREAL,ea,VIX,normal,75,-1888.94,-25.19,-1.63,100.0
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,68,266.68,3.92,0.23,-31.9
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,8,-1103.83,-137.98,-7.12,131.9
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,76,-837.15,-11.02,-0.64,100.0
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,52,-1709.81,-32.88,-1.75,204.2
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,24,872.66,36.36,2.79,-104.2
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,76,-837.15,-11.02,-0.64,100.0
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,76,-837.15,-11.02,-0.64,100.0
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,17,-1370.73,-80.63,-3.96,163.7
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,59,533.58,9.04,0.56,-63.7
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,VIX,calm,1,0.0,0.0,0.0,-0.0
ORBMASTER_DAX_M15_c_DE40.a_M15_EVERYTICKREAL,ea,VIX,normal,75,-837.15,-11.16,-0.64,100.0
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,69,-652.16,-9.45,-0.53,125.1
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,8,131.04,16.38,1.37,-25.1
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,77,-521.12,-6.77,-0.39,100.0
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,52,-2413.35,-46.41,-2.78,463.1
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,25,1892.23,75.69,4.22,-363.1
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,77,-521.12,-6.77,-0.39,100.0
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,77,-521.12,-6.77,-0.39,100.0
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,17,1559.82,91.75,4.55,-299.3
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,60,-2080.94,-34.68,-2.14,399.3
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,VIX,calm,1,0.0,0.0,0.0,-0.0
ORBMASTER_DAX_M15_f_DE40.a_M15_EVERYTICKREAL,ea,VIX,normal,76,-521.12,-6.86,-0.39,100.0
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,55,-2537.88,-46.14,-2.61,98.1
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,4,-50.07,-12.52,-9.17,1.9
